account_id,customer_id,account_type,account_open_date,account_status,account_balance,account_credit_limit,account_currency
ACC000000,CUST00000,Checking,2022-02-02,Active,8800.69,,USD
ACC000001,CUST00001,Checking,2023-07-11,Active,43071.07,,USD
ACC000002,CUST00002,Checking,2024-05-13,Active,46004.14,,USD
ACC000003,CUST00003,Checking,2023-05-01,Active,11923.25,,USD
ACC000004,CUST00004,Checking,2022-12-08,Active,14651.55,,USD
ACC000005,CUST00005,Checking,2024-07-05,Active,32432.61,,USD
ACC000006,CUST00006,Checking,2021-04-28,Active,6651.75,,USD
ACC000007,CUST00007,Checking,2024-10-18,Active,48164.18,,USD
ACC000008,CUST00008,Checking,2021-01-11,Active,30231.99,,USD
ACC000009,CUST00009,Checking,2023-09-05,Active,30704.23,,USD
ACC000010,CUST00010,Checking,2022-08-19,Active,10313.86,,USD
ACC000011,CUST00011,Checking,2023-04-03,Active,26476.1,,USD
ACC000012,CUST00012,Checking,2021-10-31,Active,4428.72,,USD
ACC000013,CUST00013,Checking,2023-12-24,Active,42552.75,,USD
ACC000014,CUST00014,Checking,2023-08-18,Active,21011.25,,USD
ACC000015,CUST00015,Checking,2024-02-05,Active,7237.1,,USD
ACC000016,CUST00016,Checking,2023-06-29,Active,37658.59,,USD
ACC000017,CUST00017,Checking,2024-07-13,Active,27848.92,,USD
ACC000018,CUST00018,Checking,2024-04-21,Active,11298.95,,USD
ACC000019,CUST00019,Checking,2022-06-05,Active,22665.83,,USD
ACC000020,CUST00020,Checking,2023-11-03,Active,33283.69,,USD
ACC000021,CUST00021,Checking,2021-06-29,Active,41102.75,,USD
ACC000022,CUST00022,Checking,2023-03-25,Active,40521.58,,USD
ACC000023,CUST00023,Checking,2023-10-22,Active,12997.28,,USD
ACC000024,CUST00024,Checking,2024-03-30,Active,21307.61,,USD
ACC000025,CUST00025,Checking,2022-12-04,Active,20582.99,,USD
ACC000026,CUST00026,Checking,2024-03-30,Active,39142.6,,USD
ACC000027,CUST00027,Checking,2022-11-20,Active,23762.94,,USD
ACC000028,CUST00028,Checking,2022-11-12,Active,7533.62,,USD
ACC000029,CUST00029,Checking,2022-09-26,Active,31019.96,,USD
ACC000030,CUST00030,Checking,2022-04-26,Active,37439.12,,USD
ACC000031,CUST00031,Checking,2021-08-25,Active,37837.06,,USD
ACC000032,CUST00032,Checking,2023-12-08,Active,14455.27,,USD
ACC000033,CUST00033,Checking,2024-05-04,Active,14314.04,,USD
ACC000034,CUST00034,Checking,2021-06-23,Active,8390.7,,USD
ACC000035,CUST00035,Checking,2022-08-03,Active,4147.21,,USD
ACC000036,CUST00036,Checking,2023-08-03,Active,23830.29,,USD
ACC000037,CUST00037,Checking,2022-12-08,Active,20084.36,,USD
ACC000038,CUST00038,Checking,2024-07-07,Active,1288.91,,USD
ACC000039,CUST00039,Checking,2024-06-30,Active,42818.95,,USD
ACC000040,CUST00040,Checking,2023-05-01,Active,11751.66,,USD
ACC000041,CUST00041,Checking,2023-12-22,Active,20054.0,,USD
ACC000042,CUST00042,Checking,2022-09-19,Active,46057.54,,USD
ACC000043,CUST00043,Checking,2023-11-04,Active,28655.21,,USD
ACC000044,CUST00044,Checking,2023-10-30,Active,22002.03,,USD
ACC000045,CUST00045,Checking,2021-11-17,Active,13747.66,,USD
ACC000046,CUST00046,Checking,2023-07-17,Active,17015.44,,USD
ACC000047,CUST00047,Checking,2024-08-30,Active,47609.0,,USD
ACC000048,CUST00048,Checking,2021-03-30,Active,24045.03,,USD
ACC000049,CUST00049,Checking,2022-05-05,Active,32857.06,,USD
ACC000050,CUST00050,Checking,2024-04-21,Active,13116.88,,USD
ACC000051,CUST00051,Checking,2022-01-23,Active,7184.83,,USD
ACC000052,CUST00052,Checking,2023-12-02,Active,35273.78,,USD
ACC000053,CUST00053,Checking,2022-03-29,Active,39111.8,,USD
ACC000054,CUST00054,Checking,2021-12-03,Active,29355.55,,USD
ACC000055,CUST00055,Checking,2023-11-27,Active,47132.06,,USD
ACC000056,CUST00056,Checking,2023-10-11,Active,34840.11,,USD
ACC000057,CUST00057,Checking,2024-05-03,Active,42664.37,,USD
ACC000058,CUST00058,Checking,2024-10-09,Active,27104.52,,USD
ACC000059,CUST00059,Checking,2024-06-04,Active,32729.62,,USD
ACC000060,CUST00060,Checking,2024-03-27,Active,25019.88,,USD
ACC000061,CUST00061,Checking,2024-10-07,Active,35658.12,,USD
ACC000062,CUST00062,Checking,2022-09-01,Active,48308.21,,USD
ACC000063,CUST00063,Checking,2022-10-23,Active,22343.15,,USD
ACC000064,CUST00064,Checking,2024-02-28,Active,41705.82,,USD
ACC000065,CUST00065,Checking,2023-06-14,Active,12949.31,,USD
ACC000066,CUST00066,Checking,2022-08-21,Active,2406.3,,USD
ACC000067,CUST00067,Checking,2022-01-05,Active,11393.87,,USD
ACC000068,CUST00068,Checking,2021-08-17,Active,44135.68,,USD
ACC000069,CUST00069,Checking,2023-09-26,Active,47455.07,,USD
ACC000070,CUST00070,Checking,2024-05-10,Active,20914.98,,USD
ACC000071,CUST00071,Checking,2024-07-05,Active,22960.55,,USD
ACC000072,CUST00072,Checking,2024-09-19,Active,11858.22,,USD
ACC000073,CUST00073,Checking,2023-03-09,Active,29496.22,,USD
ACC000074,CUST00074,Checking,2021-11-11,Active,49834.94,,USD
ACC000075,CUST00075,Checking,2023-11-21,Active,23233.52,,USD
ACC000076,CUST00076,Checking,2021-09-27,Active,6912.14,,USD
ACC000077,CUST00077,Checking,2022-02-25,Active,37401.17,,USD
ACC000078,CUST00078,Checking,2021-05-01,Active,37191.63,,USD
ACC000079,CUST00079,Checking,2022-08-29,Active,41798.79,,USD
ACC000080,CUST00080,Checking,2024-07-21,Active,9792.64,,USD
ACC000081,CUST00081,Checking,2024-07-16,Active,3230.27,,USD
ACC000082,CUST00082,Checking,2024-05-17,Active,32255.61,,USD
ACC000083,CUST00083,Checking,2022-11-20,Active,29129.15,,USD
ACC000084,CUST00084,Checking,2021-09-16,Active,17694.59,,USD
ACC000085,CUST00085,Checking,2023-03-22,Active,6590.27,,USD
ACC000086,CUST00086,Checking,2022-01-07,Active,4630.03,,USD
ACC000087,CUST00087,Checking,2022-07-01,Active,40745.96,,USD
ACC000088,CUST00088,Checking,2023-10-07,Active,6804.13,,USD
ACC000089,CUST00089,Checking,2022-12-14,Active,19638.52,,USD
ACC000090,CUST00090,Checking,2024-03-28,Active,29837.73,,USD
ACC000091,CUST00091,Checking,2022-08-16,Active,31430.34,,USD
ACC000092,CUST00092,Checking,2022-03-23,Active,11340.23,,USD
ACC000093,CUST00093,Checking,2023-07-21,Active,9516.86,,USD
ACC000094,CUST00094,Checking,2023-09-21,Active,21017.36,,USD
ACC000095,CUST00095,Checking,2022-02-18,Active,12342.34,,USD
ACC000096,CUST00096,Checking,2023-11-22,Active,34681.86,,USD
ACC000097,CUST00097,Checking,2021-12-25,Active,6624.04,,USD
ACC000098,CUST00098,Checking,2024-08-02,Active,41504.93,,USD
ACC000099,CUST00099,Checking,2024-09-17,Active,39838.8,,USD
