event_id,customer_id,account_id,event_timestamp,activity_type,challenge_type,result,event_ip_address,event_device_info,event_location
EVT0000000,CUST00000,ACC000000,2023-03-18 04:49:38,Password Reset,,Success,192.168.2.63,5213ea7c5845dfad,"Penamouth, MT"
EVT0000001,CUST00000,ACC000000,2023-06-21 10:57:18,Address Change,,Success,192.168.2.63,d4023a51c9ebd7b6,"Danielchester, SD"
EVT0000002,CUST00000,ACC000000,2023-03-07 03:11:45,Device Registration,,Success,192.168.2.63,d4023a51c9ebd7b6,"Joseside, NE"
EVT0000003,CUST00000,ACC000000,2024-03-17 11:39:54,Login,,Success,192.168.2.63,d4023a51c9ebd7b6,"Cherylfurt, WV"
EVT0000004,CUST00000,ACC000000,2022-02-01 03:35:01,Address Change,,Success,119.184.48.28,d4023a51c9ebd7b6,"West Angie, NJ"
EVT0000005,CUST00000,ACC000000,2023-10-31 06:40:12,Beneficiary Add,,Success,172.216.39.188,d4023a51c9ebd7b6,"Fitzgeraldville, WA"
EVT0000006,CUST00000,ACC000000,2023-01-29 08:19:13,Device Registration,,Success,192.168.2.63,d4023a51c9ebd7b6,"South Krista, GA"
EVT0000007,CUST00000,ACC000000,2022-09-29 07:58:18,Beneficiary Add,,Success,192.168.2.63,dbc777c73be0c007,"Laurenton, GA"
EVT0000008,CUST00000,ACC000000,2024-10-19 19:56:24,Login,,Success,192.168.2.63,d4023a51c9ebd7b6,"Oconnelltown, AS"
EVT0000009,CUST00000,ACC000000,2024-08-17 02:40:27,Beneficiary Add,,Success,192.168.2.63,d4023a51c9ebd7b6,"Port Dustinchester, CO"
EVT0000010,CUST00000,ACC000000,2023-02-05 22:59:10,Login,,Success,192.168.2.63,d4023a51c9ebd7b6,"West Jeffreyland, PA"
EVT0000011,CUST00000,ACC000000,2023-03-22 16:28:52,Login,,Success,57.164.42.84,d4023a51c9ebd7b6,"Jenniferton, WI"
