transaction_id,customer_id,account_id,transaction_timestamp,transaction_amount,transaction_type,merchant_id,merchant_name,merchant_city,merchant_state,merchant_zip,merchant_country,mcc_group,mer_sic,currency,card_present,entry_mode,device_used,ip_address,is_fraud,fraud_type
TXN0000000,CUST00000,ACC000000,2023-05-22 15:28:23,716.23,Deposit,MER00083,"Lopez, Patterson and Miller",Griffinville,UT,99492,CA,Retail_Specialty,Sporting Goods,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000001,CUST00000,ACC000000,2021-05-25 19:28:11,1039.99,Deposit,MER00079,Levy Inc,Wilsonbury,KY,73983,US,Utilities_Services,Electric Bill,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000002,CUST00000,ACC000000,2021-12-11 05:08:54,58.91,ATM Withdrawal,MER00048,"Stewart, Alvarez and Richmond",Port Ronald,FM,13805,CA,Retail_General,Grocery Store,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000003,CUST00000,ACC000000,2021-07-20 01:53:47,48.52,Cash Advance,MER00098,Herrera Group,Pearsonfort,MA,89255,US,Cash_Like,ATM,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000004,CUST00000,ACC000000,2022-10-08 07:04:03,93.69,Bill Pay,MER00094,Ray-White,Port Stephanie,PA,15392,US,Travel,Airline,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000005,CUST00000,ACC000000,2023-05-29 02:00:50,137.61,Purchase,MER00058,Carter-Johnson,Courtneyborough,MH,11652,CA,Retail_Specialty,Sporting Goods,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000006,CUST00000,ACC000000,2023-06-20 23:36:00,-130.51,Refund,MER00078,Williams LLC,North Jonathan,VT,13571,US,Travel,Car Rental,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000007,CUST00000,ACC000000,2022-11-22 23:32:13,362.57,Purchase,MER00080,Savage-Johnson,Daltonborough,NH,01342,US,Retail_Specialty,Jewelry Store,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000008,CUST00000,ACC000000,2023-06-15 01:19:23,1952.09,Deposit,MER00092,"Dixon, Webb and Johnson",Arnoldbury,AL,04211,CA,Retail_General,Pharmacy,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000009,CUST00000,ACC000000,2023-12-20 03:16:43,122.86,ATM Withdrawal,MER00017,Duncan Inc,Stanleystad,FL,24245,US,High_Risk,Adult Entertainment,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
